elo_diff,h2h_home_win_rate,h2h_total_games,home_venue_win_rate,away_venue_win_rate,rolling_margin_diff,rolling_score_for_diff,rolling_score_against_diff,rolling_win_rate_diff,streak_diff,rest_diff,ladder_position_diff,venue_encoded,away_interstate,home_interstate
218.7,0.875,8.0,0.896551724137931,0.0,20.700000000000003,11.400000000000006,-9.299999999999997,0.3,-3.0,-1.0,2.0,26.0,1.0,1.0
-16.6,0.42857142857142855,7.0,0.8333333333333334,0.0,22.500000000000004,11.599999999999994,-10.900000000000006,-0.09999999999999998,2.0,-3.0,11.0,12.0,1.0,0.0
55.0,0.3333333333333333,9.0,0.5714285714285714,0.35,12.700000000000001,-0.9000000000000057,-13.599999999999994,0.19999999999999996,1.0,1.0,2.0,6.0,1.0,0.0
-69.4,0.0,7.0,0.35714285714285715,1.0,10.3,16.5,6.200000000000003,0.2,4.0,0.0,11.0,9.0,1.0,0.0
-209.5,0.5,8.0,0.52,0.6190476190476191,-0.5,-4.200000000000003,-3.700000000000003,-0.19999999999999996,-7.0,-3.0,-7.0,6.0,0.0,0.0
240.5,0.875,8.0,0.6363636363636364,0.0,44.5,21.5,-23.0,0.39999999999999997,0.0,-1.0,1.0,17.0,1.0,0.0
-34.2,0.2222222222222222,9.0,0.35714285714285715,0.6808510638297872,-9.9,-5.8999999999999915,4.0,-0.09999999999999998,-3.0,4.0,-7.0,13.0,0.0,0.0
143.3,0.5,8.0,0.5652173913043478,1.0,14.6,4.400000000000006,-10.200000000000003,0.09999999999999998,2.0,0.0,2.0,14.0,1.0,1.0
-129.0,0.2857142857142857,7.0,0.3559322033898305,0.550561797752809,-11.600000000000001,-12.0,-0.4000000000000057,-0.19999999999999998,1.0,-2.0,2.0,6.0,0.0,0.0
90.4,0.75,8.0,0.5416666666666666,0.42105263157894735,29.4,5.400000000000006,-24.0,0.19999999999999996,3.0,-3.0,10.0,13.0,0.0,0.0
72.9,0.5454545454545454,11.0,0.7,0.14285714285714285,21.9,13.5,-8.400000000000006,0.09999999999999998,0.0,0.0,-5.0,0.0,1.0,0.0
-27.6,0.8888888888888888,9.0,0.7012987012987013,0.0,-23.0,-18.299999999999997,4.700000000000003,-0.3,-2.0,1.0,-7.0,19.0,1.0,0.0
-312.6,0.3076923076923077,13.0,0.3548387096774194,0.5309734513274337,-41.7,-17.299999999999997,24.400000000000006,-0.6,-6.0,-2.0,-16.0,13.0,0.0,0.0
8.3,0.5454545454545454,11.0,0.3333333333333333,0.5,3.2,-8.100000000000009,-11.300000000000011,-0.09999999999999998,-1.0,0.0,-7.0,7.0,1.0,0.0
-172.9,0.3,10.0,0.41025641025641024,0.5,-13.200000000000003,-12.200000000000003,1.0,-0.10000000000000003,-4.0,0.0,3.0,4.0,1.0,0.0
-163.2,0.1,10.0,0.45161290322580644,0.4782608695652174,-14.399999999999999,-1.1000000000000085,13.300000000000011,-0.29999999999999993,-3.0,0.0,2.0,6.0,1.0,0.0
